qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,qid,glove.topn3,glove.topn3.bm25.map,qid,glove.topn3.replace,glove.topn3.replace.bm25.map,qid,tagmee.topn3,tagmee.topn3.bm25.map,qid,tagmee.topn3.replace,tagmee.topn3.replace.bm25.map,qid,stem.lovins,stem.lovins.bm25.map
20124,iowa girls high school basketball,0.0475,20124,iowa girls high school basketball nebraska illinois boys low higher students football baseball,,20124,nebraska illinois boys low higher students football baseball,0.0,20124,iowa girls high school basketball Iowa Randwick Girls  High School Secondary school Basketball Basketball,0.0896,20137,Haulover Park Florida,,20124,iow girl high school basketbal,0.0
20130,cayenne pepper plants,0.3904,20130,cayenne pepper plants paprika cumin chili factories,,20130,paprika cumin chili factories,0.0,20130,cayenne pepper plants Cayenne pepper Landrace,0.2753,20138,nacvso,,20130,cayen pepper plant,0.0128
20131,washington mutual bank home page,0.037,20131,washington mutual bank home page d c  states trust investments where come article,,20131,d c  states trust investments bank where come article,0.0,20131,washington mutual bank home page Washington Mutual Washington Mutual,0.125,20139,Silicone Coating,,20131,washingt mutu bank hom pag,0.0
20135,montgomery county court,0.1789,20135,montgomery county court http   www co mo md us greene sheriff appeals,,20135,http   www co mo md us greene sheriff appeals,0.0,20135,montgomery county court Montgomery County  New York,0.0242,20141,Orlando  Florida Weather forecasting Daytime Weather forecasting,,20135,montgom count court,0.0
20137,haulover beach fl,0.3407,20137,haulover beach fl peesk kd   palm vwahr   stk,,20137,peesk kd   palm vwahr   stk,0.0,20137,haulover beach fl Haulover Park Florida,0.3589,20145,A Raisin in the Sun,,20137,haulover beach fl,0.3407
20138,nacvso,0.0,20138,nacvso,,20138,nacvso,0.0,20138,nacvso,0.0,20146,Carmen Electra Music video,,20138,nacvso,0.0
20139,silicone roof coatings,0.4206,20139,silicone roof coatings implants implant walls adhesives,,20139,implants implant walls adhesives,0.0047,20139,silicone roof coatings Silicone Coating,0.4392,20147,BMW Scale model,,20139,silicon roof coat,0.4206
20141,orlando weather 7 day forecast,0.0056,20141,orlando weather   day forecast miami phoenix inclement rainy     week predicted,,20141,miami phoenix inclement rainy     week predicted,0.0,20141,orlando weather   day forecast Orlando  Florida Weather forecasting Daytime Weather forecasting,0.0357,20149,weddings,,20141,orland weather day forecast,0.0
20145,raisin in the sun,0.1384,20145,raisin sun js   em   bright sky,,20145,js   em   bright sky,0.0,20145,raisin sun A Raisin in the Sun,0.1384,20154,dream protein,,20145,raisin in th sun,0.1139
20146,carmen electra video,0.0677,20146,carmen electra video lihks ehsh drohs   stk audio,,20146,lihks ehsh drohs   stk audio,0.0,20146,carmen electra video Carmen Electra Music video,0.0853,20162,msdha,,20146,carm electr vide,0.0
20147,all bmw models,0.0198,20147,bmw models mercedes audi designs,,20147,mercedes audi designs,0.0,20147,bmw models BMW Scale model,0.0043,20163,history crossword,,20147,al bmw model,0.0
20149,weddings,0.0077,20149,weddings,,20149,weddings,0.0077,20149,weddings,0.0077,20164,Baptists Baptists,,20149,weddings,0.0077
20154,dream protein,0.7354,20154,dream protein,,20154,dream protein,0.7354,20154,dream protein,0.7354,20168,spyware,,20154,dream protein,0.7354
20162,msdha,0.0,20162,msdha,,20162,msdha,0.0,20162,msdha,0.0,20170,Laxative Laxative,,20162,msdha,0.0
20163,history crossword,0.0303,20163,history crossword,,20163,history crossword,0.0303,20163,history crossword,0.0303,20174,American Sexual Health Association,,20163,history crossword,0.0303
20164,baptist church interiors,0.0073,20164,baptist church interiors methodist presbyterian catholic exteriors furnishings,,20164,methodist presbyterian catholic exteriors furnishings,0.0,20164,baptist church interiors Baptists Baptists,0.002,20176,cross stitch,,20164,bapt church interior,0.0007
20168,spyware,0.0084,20168,spyware,,20168,spyware,0.0084,20168,spyware,0.0084,20179,mercier press,,20168,spyware,0.0084
20170,laxative with stool softener,0.3386,20170,laxative stool softener purgative em   kd,,20170,purgative em   kd,0.0,20170,laxative stool softener Laxative Laxative,0.3003,20180,Stuffed peppers,,20170,lac with stool softener,0.2435
20174,american social health association,0.1059,20174,american social health association u s  welfare context care healthcare federation,,20174,u s  welfare context care healthcare federation,0.0,20174,american social health association American Sexual Health Association,0.0054,20181,Mid America Science Museum,,20174,american soc health associ,0.0
20176,cross stitch,0.0576,20176,cross stitch,,20176,cross stitch,0.0576,20176,cross stitch,0.0576,20185,welch corgi,,20176,cross stitch,0.0576
20179,mercier press,0.0,20179,mercier press,,20179,mercier press,0.0,20179,mercier press,0.0,20186,depression symtoms,,20179,mercier press,0.0
20180,stuffed bell peppers,0.0996,20180,stuffed bell peppers oversized wrapped                                    chili chilies,,20180,oversized wrapped                                    chili chilies,0.0,20180,stuffed bell peppers Stuffed peppers,0.11,20189,Private property Service of process,,20180,stuff bel pepper,0.0003
20181,mid america science museum,0.2186,20181,mid america science museum late early indeed   scientific exhibit,,20181,late early indeed   scientific exhibit,0.0,20181,mid america science museum Mid America Science Museum,0.2186,20190,greg hewett,,20181,mid americ sci museum,0.0
20185,welch corgi,0.0086,20185,welch corgi,,20185,welch corgi,0.0086,20185,welch corgi,0.0086,20192,clox test,,20185,welch corgi,0.0086
20186,depression symtoms,0.0318,20186,depression symtoms,,20186,depression symtoms,0.0318,20186,depression symtoms,0.0318,20198,Tyler  Texas Meteorology,,20186,depression symtoms,0.0318
20188,what causes itchy feet,0.0938,20188,causes itchy feet scratchy itching foot meters,,20188,causes scratchy itching foot meters,0.0006,20188,causes itchy feet,0.0934,20200,vanderbilt burn center,,20188,what caus itch fees,0.0
20189,private process server,0.0074,20189,private process server public rather desktop,,20189,public rather desktop,0.0,20189,private process server Private property Service of process,0.0,20203,charles basil,,20189,priv proces server,0.0
20190,greg hewett,0.0283,20190,greg hewett,,20190,greg hewett,0.0283,20190,greg hewett,0.0283,20206,cyberonics,,20190,greg hewett,0.0283
20192,clox test,0.0193,20192,clox test,,20192,clox test,0.0193,20192,clox test,0.0193,20207,michael olesker,,20192,clox test,0.0193
20198,tyler texas weather,0.0763,20198,tyler texas weather moore http   www co mo md us kansas austin inclement rainy,,20198,moore http   www co mo md us kansas austin inclement rainy,0.0,20198,tyler texas weather Tyler  Texas Meteorology,0.1186,20208,Coronation Street,,20198,tyler tic weather,0.0022
20200,vanderbilt burn center,0.5691,20200,vanderbilt burn center tulane commodores centre,,20200,tulane commodores burn centre,0.0,20200,vanderbilt burn center Vanderbilt Commodores football Burn center,0.0036,20209,arm wrestling,,20200,vanderbilt burn center,0.5691
20203,charles basil,0.0476,20203,charles basil,,20203,charles basil,0.0476,20203,charles basil,0.0476,20211,usa today,,20203,charles basil,0.0476
20206,cyberonics,0.1316,20206,cyberonics,,20206,cyberonics,0.1316,20206,cyberonics,0.1316,20213,Calverton  New York Cemetary  band,,20206,cyberonics,0.1316
20207,michael olesker,0.1233,20207,michael olesker,,20207,michael olesker,0.1233,20207,michael olesker,0.1233,20215,     Commission Report Medicare  United States  Medicare fraud,,20207,michael olesker,0.1233
20208,coronation street update,0.0285,20208,coronation street update http   www oklahomacitynationalmemorial org greg wilcoxdailynews com wall,,20208,http   www oklahomacitynationalmemorial org greg wilcoxdailynews com wall update,0.0,20208,coronation street update Coronation Street,0.03,20216,glenns ferry,,20208,coron strees upd,0.0
20209,arm wrestling,0.0968,20209,arm wrestling,,20209,arm wrestling,0.0968,20209,arm wrestling,0.0968,20219,hardees,,20209,arm wrestling,0.0968
20211,usa today,0.0202,20211,usa today,,20211,usa today,0.0202,20211,usa today,0.0202,20221,Premedication Dentistry Surgery,,20211,usa today,0.0202
20213,calverton national cemetary,0.1239,20213,calverton national cemetary kd   kd     public gahsh peesk,,20213,kd   kd     public gahsh peesk,0.0,20213,calverton national cemetary Calverton  New York Cemetary  band,0.1412,20225,University of Utah,,20213,calvers nat cemes,0.0
20215,report medicare fraud,0.1655,20215,report medicare fraud according medicaid beneficiaries fraudulent embezzlement,,20215,according medicaid beneficiaries fraudulent embezzlement,0.0117,20215,report medicare fraud      Commission Report Medicare  United States  Medicare fraud,0.0527,20227,tetanus shot,,20215,report medicar fraud,0.1655
20216,glenns ferry,0.325,20216,glenns ferry,,20216,glenns ferry,0.325,20216,glenns ferry,0.325,20229,Christmas stocking Christmas stocking,,20216,glenns ferry,0.325
20219,hardees,0.1609,20219,hardees,,20219,hardees,0.1609,20219,hardees,0.1609,20230,Brooklyn Veterans Health Administration,,20219,hardees,0.1609
20221,premedication for dental procedures,0.125,20221,premedication dental procedures dentists dentistry required,,20221,premedication dentists dentistry required,0.25,20221,premedication dental procedures Premedication Dentistry Surgery,0.1667,20232,variocose veins,,20221,premedic for dens procedur,0.0071
20225,workforce of utah,0.0563,20225,workforce utah employing employ wyoming idaho,,20225,employing employ wyoming idaho,0.0,20225,workforce utah University of Utah,0.0104,20237,lomustine,,20225,workforc of utah,0.0563
20227,tetanus shot,0.4798,20227,tetanus shot,,20227,tetanus shot,0.4798,20227,tetanus shot,0.4798,20239,nh wine,,20227,tetanus shot,0.4798
20229,christmas stocking stuffers,0.038,20229,christmas stocking stuffers holiday eve k      stocking,,20229,holiday eve k      stocking,0.0068,20229,christmas stocking stuffers Christmas stocking Christmas stocking,0.036,20244,Colonel  United States  Henry Knox,,20229,christm stock stuffer,0.0286
20230,brooklyn va medical center,0.0909,20230,brooklyn va medical center bronx manhattan doo mah sihp doctors hospital centre,,20230,bronx manhattan doo mah sihp doctors hospital centre,0.0,20230,brooklyn va medical center Brooklyn Veterans Health Administration,0.0079,20245,Intrauterine device Birth control,,20230,brooklyn va med center,0.0045
20232,variocose veins,0.1432,20232,variocose veins,,20232,variocose veins,0.1432,20232,variocose veins,0.1432,20249,Sharpening Drill bit,,20232,variocose veins,0.1432
20237,lomustine,0.5629,20237,lomustine,,20237,lomustine,0.5629,20237,lomustine,0.5629,20250,Benadryl,,20237,lomustine,0.5629
20239,nh wine,0.25,20239,nh wine,,20239,nh wine,0.25,20239,nh wine,0.25,20251,swahili dishes,,20239,nh wine,0.25
20244,colonel henry knox,0.2785,20244,colonel henry knox lieutenant col  william edward http   www co mo md us js  bb,,20244,lieutenant col  william edward http   www co mo md us js  bb,0.0,20244,colonel henry knox Colonel  United States  Henry Knox,0.3141,20254,commonwealth state,,20244,colonel henr knox,0.0674
20245,iud birth control,0.2591,20245,iud birth control implanon newborn infant,,20245,implanon newborn infant control,0.0,20245,iud birth control Intrauterine device Birth control,0.2153,20255,Unearned income Income tax in the United States,,20245,iud birth control,0.2591
20247,red in stool,0.0457,20247,red stool yellow blue em,,20247,yellow blue em,0.0,20247,red stool,0.0457,20257,us posmaster,,20247,red in stool,0.0457
20249,sharpening twist drills,0.3399,20249,sharpening twist drills bizarre exercises,,20249,sharpening bizarre exercises,0.0,20249,sharpening twist drills Sharpening Drill bit,0.412,20260,ziune,,20249,sharp tw dril,0.0
20250,benedryl for dog,0.2446,20250,benedryl dog cat,,20250,benedryl cat,0.0132,20250,benedryl dog Benadryl,0.0736,20271,tax questions,,20250,benedr for dog,0.0
20251,swahili dishes,0.4132,20251,swahili dishes,,20251,swahili dishes,0.4132,20251,swahili dishes,0.4132,20272,buddishim,,20251,swahili dishes,0.4132
20254,commonwealth state,0.225,20254,commonwealth state,,20254,commonwealth state,0.225,20254,commonwealth state,0.225,20273,Bain de Soleil,,20254,commonwealth state,0.225
20255,unearned income tax table,0.5571,20255,unearned income tax table burkett keyed taxes income sitting,,20255,burkett keyed taxes income sitting,0.0,20255,unearned income tax table Unearned income Income tax in the United States,0.5587,20275,Dune buggy,,20255,unearn incom tac tabl,0.5556
20257,us posmaster,0.0,20257,us posmaster,,20257,us posmaster,0.0,20257,us posmaster,0.0,20277,ribble cycles,,20257,us posmaster,0.0
20260,ziune,0.0,20260,ziune,,20260,ziune,0.0,20260,ziune,0.0,20278,aircanada,,20260,ziune,0.0
20266,the food pyrimid,0.0056,20266,food pyrimid supplies,,20266,supplies pyrimid,0.0476,20266,food pyrimid,0.0056,20280,foursomes,,20266,th food pyrimid,0.0055
20271,tax questions,0.107,20271,tax questions,,20271,tax questions,0.107,20271,tax questions,0.107,20283,flags,,20271,tax questions,0.107
20272,buddishim,0.0,20272,buddishim,,20272,buddishim,0.0,20272,buddishim,0.0,20286,Pregnancy test,,20272,buddishim,0.0
20273,bain de soleil,0.2894,20273,bain de soleil http   www statoil com svahng la prohertrib cirque cite,,20273,http   www statoil com svahng la prohertrib cirque cite,0.0,20273,bain de soleil Bain de Soleil,0.2892,20288,Third grade Children s literature,,20273,bain de soleil,0.2894
20275,dune buggy insurance,0.012,20275,dune buggy insurance pyoot em   premiums,,20275,pyoot em   premiums,0.0,20275,dune buggy insurance Dune buggy,0.0018,20290,karger publishing,,20275,dun bug insur,0.0
20277,ribble cycles,0.0486,20277,ribble cycles,,20277,ribble cycles,0.0486,20277,ribble cycles,0.0486,20298,Commercial property Liability insurance,,20277,ribble cycles,0.0486
20278,aircanada,0.0625,20278,aircanada,,20278,aircanada,0.0625,20278,aircanada,0.0625,20300,gold eagle,,20278,aircanada,0.0625
20280,foursomes,,20280,foursomes,,20280,foursomes,,20280,foursomes,,20308,Doctorate Academic degree Social work,,20280,foursomes,
20283,flags,0.0223,20283,flags,,20283,flags,0.0223,20283,flags,0.0223,20310,virginia aquarium,,20283,flags,0.0223
20286,early pregnancy tests,0.0307,20286,early pregnancy tests late later pregnant,,20286,late later pregnant tests,0.0021,20286,early pregnancy tests Pregnancy test,0.0299,20312,Telephone directory,,20286,ear pregn test,0.0
20288,3rd grade books,0.3904,20288, rd grade books  th  nd kindergarten novels,,20288, th  nd kindergarten novels,0.0,20288, rd grade books Third grade Children s literature,0.0,20313,New York City,,20288,rd grad book,0.0
20290,karger publishing,0.5604,20290,karger publishing,,20290,karger publishing,0.5604,20290,karger publishing,0.5604,20319,American frontier Charter school,,20290,karger publishing,0.5604
20298,commercial liability insurance,0.0258,20298,commercial liability insurance addition business malpractice premiums,,20298,addition business malpractice premiums,0.0006,20298,commercial liability insurance Commercial property Liability insurance,0.0246,20327,pitahaya,,20298,commerc li insur,0.0
20300,gold eagle,0.051,20300,gold eagle,,20300,gold eagle,0.051,20300,gold eagle,0.051,20328,flight simulators,,20300,gold eagle,0.051
20308,phd degrees in social work,0.0638,20308,phd degrees social work ph d  ph d celsius welfare context,,20308,ph d  ph d celsius welfare context work,0.0,20308,phd degrees social work Doctorate Academic degree Social work,0.0237,20330,irving berlin,,20308,phd degree in soc work,0.0001
20310,virginia aquarium,0.1885,20310,virginia aquarium,,20310,virginia aquarium,0.1885,20310,virginia aquarium,0.1885,20338,munster steel,,20310,virginia aquarium,0.1885
20312,wichita white pages,0.3333,20312,wichita white pages topeka kansas black brown read,,20312,topeka kansas black brown read,0.0,20312,wichita white pages Telephone directory,0.0122,20339,Houston Community College,,20312,wichit whit pag,0.0
20313,weather in nyc,0.0603,20313,weather nyc inclement rainy js  bb k,,20313,inclement rainy js  bb k,0.0,20313,weather nyc New York City,0.1286,20340,World Map,,20313,weather in nyc,0.0603
20319,west oaklane charter school,0.0,20319,west oaklane charter school east north http   www nwguild org students,,20319,east north oaklane http   www nwguild org students,0.0,20319,west oaklane charter school American frontier Charter school,0.0,20343,Windows Media Player Windows Media Player,,20319,west oaklan charter school,0.0
20323,what is a home equity line,0.0429,20323,home equity line where come investments investment same,,20323,where come investments investment same,0.0,20323,home equity line,0.0256,20344,football plays,,20323,what is a hom equ lin,0.0
20327,pitahaya,0.3583,20327,pitahaya,,20327,pitahaya,0.3583,20327,pitahaya,0.3583,20347,stride rite,,20327,pitahaya,0.3583
20328,flight simulators,0.0475,20328,flight simulators,,20328,flight simulators,0.0475,20328,flight simulators,0.0475,20352,hopi food,,20328,flight simulators,0.0475
20330,irving berlin,0.1974,20330,irving berlin,,20330,irving berlin,0.1974,20330,irving berlin,0.1974,20353,weather seattle,,20330,irving berlin,0.1974
20332,gbi crime lab,0.484,20332,gbi crime lab rsm   localweather criminal laboratory,,20332,rsm   localweather criminal laboratory,0.0,20332,gbi crime lab,0.484,20357,hobcaw barony,,20332,gb crim lab,0.0
20338,munster steel,0.0,20338,munster steel,,20338,munster steel,0.0,20338,munster steel,0.0,20358,King s Evangelical Divinity School,,20338,munster steel,0.0
20339,houston community college,0.6035,20339,houston community college dallas texas well graduate school,,20339,dallas texas well graduate school,0.0,20339,houston community college Houston Community College,0.6035,20359,Mitsubishi Eclipse,,20339,houst commun colleg,0.0
20340,world political map,0.3716,20340,world political map time ever politicians,,20340,time ever politicians map,0.0,20340,world political map World Map,0.4776,20362,peacecorp,,20340,world polit map,0.3716
20343,windows media player 9,0.0844,20343,windows media player   xp press reports playing,,20343,xp press reports playing,0.0,20343,windows media player   Windows Media Player Windows Media Player,0.2339,20363,ri vineyards,,20343,window med player,0.0
20344,football plays,0.0384,20344,football plays,,20344,football plays,0.0384,20344,football plays,0.0384,20364,fiberglass cupola,,20344,football plays,0.0384
20347,stride rite,0.1919,20347,stride rite,,20347,stride rite,0.1919,20347,stride rite,0.1919,20365,canton ct,,20347,stride rite,0.1919
20352,hopi food,0.3345,20352,hopi food,,20352,hopi food,0.3345,20352,hopi food,0.3345,20366,Nye County School District,,20352,hopi food,0.3345
20353,weather seattle,0.007,20353,weather seattle,,20353,weather seattle,0.007,20353,weather seattle,0.007,20368,aluminium extrusion,,20353,weather seattle,0.007
20357,hobcaw barony,0.4287,20357,hobcaw barony,,20357,hobcaw barony,0.4287,20357,hobcaw barony,0.4287,20371,Lunar phase,,20357,hobcaw barony,0.4287
20358,midlands bible college,0.2068,20358,midlands bible college nottingham wolverhampton scripture testament graduate school,,20358,nottingham wolverhampton scripture testament graduate school,0.0,20358,midlands bible college King s Evangelical Divinity School,0.3167,20375,Mississippi,,20358,midland bibl colleg,0.2068
20359,05 mitsubishi eclipse,0.1847,20359,   mitsubishi eclipse       nissan sumitomo piyanart,,20359,      nissan sumitomo piyanart,0.0,20359,   mitsubishi eclipse Mitsubishi Eclipse,0.0228,20378,honsodor hawaii,,20359,mitsubish eclips,0.0
20362,peacecorp,0.0,20362,peacecorp,,20362,peacecorp,0.0,20362,peacecorp,0.0,20379,kidney disease,,20362,peacecorp,0.0
20363,ri vineyards,0.3088,20363,ri vineyards,,20363,ri vineyards,0.3088,20363,ri vineyards,0.3088,20380,Queen Anne style architecture in the United States Community centre,,20363,ri vineyards,0.3088
20364,fiberglass cupola,0.8395,20364,fiberglass cupola,,20364,fiberglass cupola,0.8395,20364,fiberglass cupola,0.8395,20384,dating violence,,20364,fiberglass cupola,0.8395
20365,canton ct,0.0013,20365,canton ct,,20365,canton ct,0.0013,20365,canton ct,0.0013,20387,archaeology,,20365,canton ct,0.0013
20366,nye county school district,0.25,20366,nye county school district pyoot sihp sheriff students area,,20366,pyoot sihp sheriff students area,0.0,20366,nye county school district Nye County School District,0.25,20388,3m,,20366,ny count school district,0.0
20368,aluminium extrusion,0.0165,20368,aluminium extrusion,,20368,aluminium extrusion,0.0165,20368,aluminium extrusion,0.0165,20389,dictonaries,,20368,aluminium extrusion,0.0165
20371,third quarter moon,0.4377,20371,third quarter moon second fourth fourth mars earth,,20371,second fourth fourth mars earth,0.0,20371,third quarter moon Lunar phase,0.1564,20390,herald mail,,20371,third quarter moon,0.4377
20375,state of mississippi,0.0,20375,state mississippi federal alabama louisiana,,20375,federal alabama louisiana,0.0,20375,state mississippi Mississippi,0.0,20392,relenza,,20375,st of mississip,0.0
20378,honsodor hawaii,0.0,20378,honsodor hawaii,,20378,honsodor hawaii,0.0,20378,honsodor hawaii,0.0,20393,blink reflex,,20378,honsodor hawaii,0.0
20379,kidney disease,0.1697,20379,kidney disease,,20379,kidney disease,0.1697,20379,kidney disease,0.1697,20395,amtrak emeryville,,20379,kidney disease,0.1697
20380,eastlake community center,0.0,20380,eastlake community center fahnt bohld well centre,,20380,fahnt bohld well centre,0.0,20380,eastlake community center Queen Anne style architecture in the United States Community centre,0.0,20396,Adobe Acrobat,,20380,eastlak commun center,0.0
20384,dating violence,0.2535,20384,dating violence,,20384,dating violence,0.2535,20384,dating violence,0.2535,20398,Variable number tandem repeat,,20384,dating violence,0.2535
20387,archaeology,0.0211,20387,archaeology,,20387,archaeology,0.0211,20387,archaeology,0.0211,20399,SurfControl,,20387,archaeology,0.0211
20388,3m,0.0142,20388,3m,,20388,3m,0.0142,20388,3m,0.0142,20405,Ford Motor Company Engine,,20388,3m,0.0142
